RID,START,DATETIME.UTC,DURATION,consent,Consent_2,Q1Age,Q2Gender,Q3Country,Q4Urban,Q5Ethnicity,Q8Postcode,Q6Occupation,Q7Income,Q9Insect_Word1,Q9Insect_Word2,Q9Insect_Word3,Q10Insect_Species1,Q10Insect_Species2,Q10Insect_Species3,BackgroundInfo_Check,Q11OpinionOnInsectPopulations_1,Q11OpinionOnInsectPopulations_2,Q12InsectIDQuiz_1,Q12InsectIDQuiz_2,Q12InsectIDQuiz_3,Q12InsectIDQuiz_4,Q12InsectIDQuiz_5,Q12InsectIDQuiz_6,Q12InsectIDQuiz_DV_1,Q12InsectIDQuiz_DV_2,Q12InsectIDQuiz_DV_3,Q12InsectIDQuiz_DV_4,Q12InsectIDQuiz_DV_5,Q12InsectIDQuiz_DV_6,Q12InsectIDQuizFollowUp_1,Q12InsectIDQuizFollowUp_2,CE_Task_Insect_Check_1,CE_Task_Plan_Check_1,CE_Task_A1_Check_1,CE_Task_A2_Check_1,CE_Task_A3_Check_1,CE_Task_A4_Check_1,CE_Task_A5_Check_1,CE_ConfirmYouHaveReadDescs,CE_TasksConsequentiality_1,CE_TasksConsequentiality_2,BidVectorElicitation_Randomiser,QX_BidVector_Beetles,CE_BlockAllocator,design_offset,QX_BidVector_Bees,QX_BidVector_Wasps,CE_1_DV,CE_2_DV,CE_3_DV,CE_4_DV,CE_5_DV,CE_6_DV,CE_7_DV,CE_8_DV,CE_9_DV,Q29CEProtest_Statements,Q29CEProtest_Other,CE_Debrief_Easy,CE_Debrief_Certain,CE_Debrief_Confident,CE_ANA_1,CE_ANA_2,CE_ANA_3,CE_ANA_4,CE_ANA_5,Biowell_Beetle1_Item1_Relaxed,Biowell_Beetle1_Item2_Joy,Biowell_Beetle1_Item3_Clear,Biowell_Beetle1_Item4_Open,Biowell_Beetle1_Item5_Connect,Biowell_Bee1_Item1_Relaxed,Biowell_Bee1_Item2_Joy,Biowell_Bee1_Item3_Clear,Biowell_Bee1_Item4_Open,Biowell_Bee1_Item5_Connect,Biowell_Wasp1_Item1_Relaxed,Biowell_Wasp1_Item2_Joy,Biowell_Wasp1_Item3_Clear,Biowell_Wasp1_Item4_Open,Biowell_Wasp1_Item5_Connect,Biowell_Beetle2_Item1_Relaxed,Biowell_Beetle2_Item2_Joy,Biowell_Beetle2_Item3_Clear,Biowell_Beetle2_Item4_Open,Biowell_Beetle2_Item5_Connect,Biowell_Bee2_Item1_Relaxed,Biowell_Bee2_Item2_Joy,Biowell_Bee2_Item3_Clear,Biowell_Bee2_Item4_Open,Biowell_Bee2_Item5_Connect,Biowell_Wasp2_Item1_Relaxed,Biowell_Wasp2_Item2_Joy,Biowell_Wasp2_Item3_Clear,Biowell_Wasp2_Item4_Open,Biowell_Wasp2_Item5_Connect,Biowell_Beetle3_Item1_Relaxed,Biowell_Beetle3_Item2_Joy,Biowell_Beetle3_Item3_Clear,Biowell_Beetle3_Item4_Open,Biowell_Beetle3_Item5_Connect,Biowell_Bee3_Item1_Relaxed,Biowell_Bee3_Item2_Joy,Biowell_Bee3_Item3_Clear,Biowell_Bee3_Item4_Open,Biowell_Bee3_Item5_Connect,Biowell_Wasp3_Item1_Relaxed,Biowell_Wasp3_Item2_Joy,Biowell_Wasp3_Item3_Clear,Biowell_Wasp3_Item4_Open,Biowell_Wasp3_Item5_Connect,Biowell_Debrief_Easy,Biowell_Debrief_Certain,Sliding_Beetles_Encounter,Sliding_Beetles_Ecology,Sliding_Beetles_Conserved,Sliding_Beetles_Important,Sliding_Bees_Encounter,Sliding_Bees_Conserved,Sliding_Bees_Ecology,Sliding_Bees_Important,Sliding_Wasps_Encounter,Sliding_Wasps_Conserved,Sliding_Wasps_Ecology,Sliding_Wasps_Important,Visit_Child,Visit_Teen,Visit_Adult,Q41_FreqOfVisitGreenSpace_1,Q41_FreqOfVisitBlueSpace_1,Q41_WalkTimeToGreenSpace,Q41_WalkTimeToBlueSpace,Q42_Charity,Q43_Citizen,Q44_Sight,Q45_Garden,Q46_Farm,Q47_Fish,Q48_Education,QDiscounting_1,QDiscounting_2,QDiscounting_3,QDiscounting_4,QDiscounting_5,QDiscounting_6,QDiscounting_7,QDiscounting_8,QDiscounting_9,QDiscounting_10,Pretest_AnyDifficultQuestions,Pretest_SliderOrLikert,Q50_Understanding,FurtherComments,SurveyCompletionTime,Speeders_Survey_Threshold,Slowers_Survey_Threshold,Speeders_Survey_TestDummy,Slowers_Survey_TestDummy,Valuation_Start,Valuation_Finish,Valuation_CompletionTime,Speeders_Valuation_Threshold,Slowers_Valuation_Threshold,Speeders_Valuation_TestDummy,Slowers_Valuation_TestDummy,ClassDummy,EmployDummy_Retired,EmployDummy_Employed,IncomeMidpoints,Income_MissingDummy,AgeGroup,Dummy_HighEducation,Age_1829Dummy,Age_3044Dummy,Age_4560Dummy,Age_60Dummy,AgeGroup_Numeric,IncomeMidpoints_PlusMissing,Q12InsectIDQuiz_DV_1_Dummy,Q12InsectIDQuiz_DV_2_Dummy,Q12InsectIDQuiz_DV_3_Dummy,Q12InsectIDQuiz_DV_4_Dummy,Q12InsectIDQuiz_DV_5_Dummy,Q12InsectIDQuiz_DV_6_Dummy,Q12InsectIDQuiz_Score,Q12InsectIDQuiz_DV_6_ScoreScaled,CE_TasksConsequentiality_1_Scaled,CE_TasksConsequentiality_2_Scaled,QX_BidVector_All,CE_ANA_None,CE_ANA_All
444,1725897886.74768,2024-09-09T18:04:46.748Z,444.539,1,,31,1,1,2,1,BD20,9,5,Ant,Beetle,Creepy,Beetle,Any,Ladybug,1,5,4,1,4,3,3,2,4,Ant: incorrect,Wasp: correct,Beetle: correct,Beetle: correct,Bee: correct,Wasp: incorrect,4,2,1,1,1,1,1,1,1,1,1,4,1,100,2,-2,,,1,2,1,2,3,3,2,1,3,,,100,100,100,1,1,1,1,1,44,12,14,15,25,17,14,19,25,15,17,11,1,2,13,15,4,3,14,9,6,10,7,6,20,26,8,21,15,10,9,1,12,19,15,12,11,27,21,14,12,14,21,15,6,85,92,91,90,94,88,94,95,87,93,10,70,82,84,86,15,90,5,3,5,5,2,2,2,1,2,2,5,2,2,2,2,2,2,2,2,2,1,No,1,100,Thank you,444.539,426.91608,1316.32458,1,1,127.458678007126,230.79923915863,103.340561151504,103.828797798157,320.138793210983,0,1,1,0,1,2750.5,0,30-44,1,0,1,0,0,37,2750.5,0,1,1,1,1,0,4,66.67,4,1,100,0,1
424,1725897858.18242,2024-09-09T18:04:18.182Z,503.999,1,,26,1,1,2,13,B21,8,4,Creepy-crawlies,Ant,Bug,Bug,Fly,Spider,1,3,2,3,5,5,1,2,3,Beetle: incorrect,I don’t know: incorrect,I don’t know: incorrect,Ant: incorrect,Bee: correct,Beetle: correct,4,5,2,1,2,2,2,1,2,1,5,4,2,,,,1,,2,1,3,3,3,3,3,3,3,,,68,59,63,1,1,1,2,1,77,68,61,67,67,72,57,64,64,58,69,59,64,59,65,64,66,63,33,66,63,62,30,62,60,60,63,58,31,65,61,60,28,62,69,63,62,57,31,64,71,61,30,61,74,70,69,72,64,68,62,71,68,64,58,64,62,65,67,66,62,50,3,5,4,3,1,2,1,1,2,1,4,1,2,2,2,1,2,2,1,2,1,No,1,64,Good survey,503.999,426.91608,1316.32458,1,1,229.00980091095,311.748197078705,82.738396167755,103.828797798157,320.138793210983,0,1,1,0,1,2250.5,0,18-29,0,1,0,0,0,23.5,2250.5,0,0,0,0,1,1,2,33.33,0,1,1,0,0
435,1725897877.4885,2024-09-09T18:04:37.489Z,493.725,1,,48,2,1,2,9,NW10,9,8,Protein,Bugs,Noise,Ant,Roaches,Bee,1,4,3,1,2,3,3,2,2,Ant: incorrect,Bee: incorrect,Beetle: correct,Beetle: correct,Bee: correct,Bee: correct,5,1,2,2,2,2,2,2,2,1,5,5,1,10,1,-2,,,2,2,1,1,1,1,1,2,2,,,94,100,100,1,1,1,1,1,32,16,24,15,18,17,21,21,23,30,11,19,19,18,27,19,22,28,23,32,19,19,25,19,30,18,22,26,30,28,13,16,29,25,20,20,28,17,30,25,26,21,25,29,22,95,100,100,62,98,98,91,96,100,97,77,98,97,100,93,100,100,6,4,2,3,2,2,2,1,2,2,5,1,1,1,1,1,2,2,2,2,2,None at all,2,100,A very clear and well presented study and very engaging and relevant.,493.725,426.91608,1316.32458,1,1,201.664057970047,274.967580795288,73.303522825241,103.828797798157,320.138793210983,0,1,1,0,1,5000.5,0,45-60,1,0,0,1,0,52.5,5000.5,0,0,1,1,1,1,4,66.67,0,0,10,0,1
420,1725897851.27201,2024-09-09T18:04:11.272Z,539.714,1,,38,2,1,2,1,NG17,8,5,spider,fly,mosquito,spider,fly,beetle,1,5,5,5,5,5,3,2,4,I don’t know: incorrect,I don’t know: incorrect,I don’t know: incorrect,Beetle: correct,Bee: correct,Wasp: incorrect,5,2,2,2,1,1,1,2,2,1,5,3,1,1,2,-2,,,1,1,2,1,1,1,1,2,2,,,73,94,100,1,2,1,1,1,30,34,22,55,46,39,62,46,45,39,37,33,67,30,55,36,66,26,36,44,28,57,34,23,53,34,33,37,60,56,29,55,33,38,33,33,29,71,33,31,37,34,31,56,38,92,98,83,87,71,88,72,97,93,89,100,97,83,84,95,86,83,5,4,4,4,2,2,2,1,1,2,5,1,1,2,2,2,2,2,2,2,2,no,1,98,excellent,539.714,426.91608,1316.32458,1,1,210.733860015869,332.388311862946,121.654451847077,103.828797798157,320.138793210983,1,1,1,0,1,2750.5,0,30-44,1,0,1,0,0,37,2750.5,0,0,0,1,1,0,2,33.33,0,2,1,0,0
441,1725897881.54072,2024-09-09T18:04:41.541Z,531.598,1,,66,2,1,1,3,NE66,9,8,Bug,Garden,Summer,Spider,Earwig,Fly,1,3,3,4,5,3,3,4,2,Wasp: correct,I don’t know: incorrect,Beetle: correct,Beetle: correct,Wasp: incorrect,Bee: correct,4,4,2,2,2,2,2,2,2,1,3,4,2,,,,0,,3,3,3,3,3,3,3,3,3,8,,100,100,80,2,1,2,1,1,83,100,16,94,81,69,82,65,71,68,74,72,78,88,66,71,73,72,62,58,76,92,79,93,88,100,81,95,100,100,68,77,62,78,58,89,84,58,84,100,35,86,58,57,100,0,67,33,10,7,13,80,32,61,27,65,31,59,57,86,8,78,6,1,1,6,2,2,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1,The whole thing was  biased,2,16,None,531.598,426.91608,1316.32458,1,1,148.951286077499,279.203192949295,130.251906871796,103.828797798157,320.138793210983,1,1,1,0,1,5000.5,0,60+,0,0,0,0,1,60,5000.5,1,0,1,1,0,1,4,66.67,2,1,0,0,0
449,1725897903.3145,2024-09-09T18:05:03.315Z,510.095,1,,50,2,1,2,1,BL6,7,8,Wasp,Spiders,Worms,Wasp,Worms,Ants,1,5,5,4,3,3,3,2,4,Wasp: correct,Beetle: incorrect,Beetle: correct,Beetle: correct,Bee: correct,Wasp: incorrect,5,5,1,1,1,1,1,1,1,1,5,5,3,,,,,40000,3,1,2,2,1,3,3,1,1,,,100,100,100,1,1,1,1,1,19,2,0,6,8,0,19,15,19,12,17,15,6,18,21,14,10,10,13,10,3,17,18,9,9,7,12,2,7,3,19,14,14,14,14,15,17,22,10,15,16,9,14,7,4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,None,1,100,None,510.095,426.91608,1316.32458,1,1,162.572654008865,293.187738895416,130.615084886551,103.828797798157,320.138793210983,1,1,1,0,1,5000.5,0,45-60,0,0,0,1,0,52.5,5000.5,1,0,1,1,1,0,4,66.67,0,0,40000,0,1
421,1725897853.56599,2024-09-09T18:04:13.566Z,584.452,1,,32,2,1,2,1,NR3,6,5,Bug,Stick bug,Moth,Bug,Lady bug,Stick bug,1,5,5,1,5,3,3,2,2,Ant: incorrect,I don’t know: incorrect,Beetle: correct,Beetle: correct,Bee: correct,Bee: correct,5,5,2,2,4,2,2,2,3,1,5,5,2,,,,10,,2,2,1,2,2,1,2,1,2,,,100,100,100,1,1,1,1,1,0,0,0,6,0,0,0,0,6,0,12,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,100,100,91,100,100,100,100,100,100,100,36,94,15,100,100,100,100,6,6,5,5,2,2,2,1,2,1,5,2,2,2,2,2,2,2,2,2,2,Not really it was okay,1,100,:),584.452,426.91608,1316.32458,1,1,150.364818096161,270.466737031937,120.101918935776,103.828797798157,320.138793210983,1,1,1,0,1,2750.5,0,30-44,1,0,1,0,0,37,2750.5,0,0,1,1,1,1,4,66.67,0,0,10,0,1
428,1725897866.96415,2024-09-09T18:04:26.964Z,620.6,1,,28,2,1,2,9,LE2,6,2,Small,Dangerous,Harmful,Ant,Grasshoppe,Fly,1,3,4,4,2,1,1,2,4,Wasp: correct,Bee: incorrect,Ant: incorrect,Ant: incorrect,Bee: correct,Wasp: incorrect,4,4,2,2,2,3,3,2,3,1,4,4,3,,,,,200,1,2,2,1,2,1,2,1,2,,,80,63,68,1,1,1,1,1,68,19,66,14,64,12,67,9,86,15,71,72,75,76,72,16,66,12,84,19,67,9,80,9,86,16,73,14,90,10,78,10,77,14,85,33,75,18,78,17,24,78,27,88,31,83,90,92,73,71,72,67,69,71,71,66,67,72,67,59,71,89,4,5,2,5,2,2,2,1,2,1,5,2,1,2,1,2,2,2,1,2,1,None,1,81,No comment,620.6,426.91608,1316.32458,1,1,218.723793983459,385.849211931229,167.12541794777,103.828797798157,320.138793210983,1,1,1,0,1,1250.5,0,18-29,1,1,0,0,0,23.5,1250.5,1,0,0,0,1,0,2,33.33,1,1,200,0,1
448,1725897898.31923,2024-09-09T18:04:58.319Z,595.362,1,,27,2,1,2,15,TS1,8,8,Diseases,Invasion,Disturbing,Bees,Flies,Aunts,1,4,5,4,4,3,1,2,2,Wasp: correct,Wasp: correct,Beetle: correct,Ant: incorrect,Bee: correct,Bee: correct,2,5,2,2,2,2,2,2,2,1,4,4,2,,,,20,,1,1,2,1,1,1,1,2,1,,,86,100,100,1,1,1,1,1,28,21,22,17,13,74,21,18,16,16,60,16,16,16,15,33,28,17,19,17,19,21,21,19,17,21,21,20,19,19,10,5,13,9,9,10,3,8,6,5,12,11,10,14,2,90,96,32,82,81,81,84,79,73,86,31,89,97,94,100,72,97,4,4,3,3,2,2,2,2,2,2,5,1,2,2,2,2,2,2,2,2,2,No,1,100,None,595.362,426.91608,1316.32458,1,1,166.451396942139,321.328207969666,154.876811027527,103.828797798157,320.138793210983,1,1,1,0,1,5000.5,0,18-29,1,1,0,0,0,23.5,5000.5,1,1,1,0,1,1,5,83.33,1,1,20,0,1
422,1725897854.61221,2024-09-09T18:04:14.612Z,663.747,1,,39,2,1,2,4,SO17,8,5,Bug,Fly,Spider,Spider,Fly,Wasp,1,2,3,1,4,3,1,2,3,Ant: incorrect,Wasp: correct,Beetle: correct,Ant: incorrect,Bee: correct,Beetle: correct,5,5,2,3,2,1,3,3,2,1,5,4,3,,,,,5,2,1,1,1,1,2,2,2,1,,,100,100,100,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,100,100,100,100,100,100,100,100,100,100,32,21,100,100,100,100,6,5,2,2,2,2,2,1,1,2,5,1,1,1,2,2,2,2,2,2,2,No,1,100,"Interesting survey about bugs, never considered this but it's very important,  good work",663.747,426.91608,1316.32458,1,1,167.998749017715,328.519635915756,160.520886898041,103.828797798157,320.138793210983,1,1,1,0,1,2750.5,0,30-44,1,0,1,0,0,37,2750.5,0,1,1,0,1,1,4,66.67,0,1,5,0,1
439,1725897880.9896,2024-09-09T18:04:40.990Z,711.073,1,,73,2,1,2,1,NG31,3,6,bee,butterfly,moth,moth,bee,wasp,1,5,5,1,3,3,5,2,2,Ant: incorrect,Beetle: incorrect,Beetle: correct,I don’t know: incorrect,Bee: correct,Bee: correct,5,1,1,1,1,1,1,1,1,1,5,5,3,,,,,0,3,3,3,3,3,2,3,3,3,,,84,83,82,1,1,1,1,1,43,39,41,36,36,19,9,9,10,10,78,68,61,62,67,12,24,8,9,10,4,2,3,4,4,70,74,72,70,71,9,12,8,11,11,1,1,1,2,1,12,43,31,37,32,90,93,64,69,78,96,58,95,95,98,32,67,62,71,94,96,85,4,4,2,2,2,2,2,1,1,2,5,1,1,1,2,2,2,2,2,2,2,no,1,99,none,711.073,426.91608,1316.32458,1,1,161.108425140381,351.802943944931,190.69451880455,103.828797798157,320.138793210983,1,1,0,1,0,3250.5,0,60+,1,0,0,0,1,60,3250.5,0,0,1,0,1,1,3,50,0,0,0,0,1
423,1725897855.03496,2024-09-09T18:04:15.035Z,761.97,1,,24,1,3,2,1,cf24,10,7,bees,ants,butterflies,bee,ants,butterflie,1,5,5,5,5,3,1,2,4,I don’t know: incorrect,I don’t know: incorrect,Beetle: correct,Ant: incorrect,Bee: correct,Wasp: incorrect,1,2,2,2,2,2,2,2,2,1,4,4,3,,,,,15,1,1,1,1,1,2,2,2,1,,,100,67,68,1,2,1,1,1,0,0,0,0,1,27,0,0,1,0,42,22,23,23,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,100,72,1,27,99,99,0,99,76,99,2,99,77,99,99,99,100,6,4,2,2,2,2,2,2,2,2,5,1,2,2,2,2,2,2,2,2,2,no they were all easy to understand,1,100,easy to answer and understand on an important topic,761.97,426.91608,1316.32458,1,1,157.724447011948,375.471932888031,217.747485876083,103.828797798157,320.138793210983,1,1,1,0,1,3750.5,0,18-29,1,1,0,0,0,23.5,3750.5,0,0,1,0,1,0,2,33.33,1,1,15,0,0
447,1725897891.87449,2024-09-09T18:04:51.874Z,742.594,1,,48,1,1,2,1,LE1,6,6,Spider,Creepy,Small,Lady bird,Ear wig,Ant,1,5,5,1,1,3,3,2,4,Ant: incorrect,Ant: incorrect,Beetle: correct,Beetle: correct,Bee: correct,Wasp: incorrect,5,5,1,1,1,1,1,1,1,1,5,4,2,,,,10,,1,1,2,1,2,1,1,1,2,,,100,100,100,1,1,1,1,1,100,100,92,97,6,100,100,100,100,10,100,100,99,100,8,100,98,100,100,6,99,97,97,100,10,98,96,100,100,3,13,8,7,8,96,0,0,4,7,97,8,5,7,13,100,100,100,21,100,90,100,13,96,97,100,9,97,100,100,100,95,100,7,5,2,3,2,2,2,1,2,2,3,1,1,1,1,1,1,1,1,1,2,No,1,100,No,742.594,426.91608,1316.32458,1,1,227.56894993782,442.44145488739,214.87250494957,103.828797798157,320.138793210983,1,1,1,0,1,3250.5,0,45-60,0,0,0,1,0,52.5,3250.5,0,0,1,1,1,0,3,50,0,1,10,0,1
